"url","comment_user","comment_user_url","comment_date","comment","likes_number","replies_number","replies","hashtag_comment","tagged_users_in_comment","post_url","post_user","comment_id","post_id"
"https://www.instagram.com/thassoshru","guj***sah***","https://www.instagram.com/gujralsahib","2025-03-03T13:10:14.000Z","Ship it",1,1,"[{""likes_number"":0,""reply"":""@gujralsahib 😭😭😭done h"",""reply_date"":""2025-03-06T13:56:26.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DGst12lpdzz/","tha***shr***","18089790634561753","3579437416691653875"
"https://www.instagram.com/thassoshru","poo***hoo***","https://www.instagram.com/poojadhoot15","2025-01-10T10:32:12.000Z","Not wearing socks is so gross!!!!",1,1,"[{""likes_number"":0,""reply"":""@poojadhoot15 ISTG"",""reply_date"":""2025-01-11T09:53:44.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DEmtUDBSlhK/","tha***shr***","17887185825086559","3541717446698883146"
"https://www.instagram.com/thassoshru","sab***ler***","https://www.instagram.com/saby_kler","2025-01-09T14:43:07.000Z","Sunscreen???? Which one?",1,1,"[{""likes_number"":0,""reply"":""@saby_kler moody!"",""reply_date"":""2025-01-09T14:44:25.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DEmtUDBSlhK/","tha***shr***","18031433507218743","3541717446698883146"
"https://www.instagram.com/thassoshru","eun***thr***s","https://www.instagram.com/eunoiathrifts","2024-11-14T18:58:47.000Z","love this 💋✨🩷",1,1,"[{""likes_number"":0,""reply"":""@eunoiathrifts hehe 🥹🥹"",""reply_date"":""2024-11-15T13:12:28.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/p/DCWwpfEyKQK/","tha***shr***","18047583584046134","3501199717424473098"
"https://www.instagram.com/krishangi_borah","aka***arn***","https://www.instagram.com/akarsharneja","2024-01-31T06:09:22.000Z","Happiest birthday @rashisharrma_ 💘💘💘💘💘",1,1,"[{""likes_number"":0,""reply"":""@akarsharneja thank youu 🤍"",""reply_date"":""2024-01-31T06:11:19.000Z"",""reply_user"":""ras***har***_""}]",,"[""@ra***sha***a_""]","https://www.instagram.com/krishangi_borah/p/C2v6zfTC3BQ/","kri***ngi***rah***","18010591187020080","3292108477627592784"
"https://www.instagram.com/thassoshru","kri***a00***","https://www.instagram.com/kritika0081","2025-03-19T06:29:27.000Z","first shirt from?",1,1,"[{""likes_number"":0,""reply"":""@kritika0081 thrifted🥹"",""reply_date"":""2025-03-19T12:59:16.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DHTGFZaJAI7/","tha***shr***","18000380390762022","3590240087102980667"
"https://www.instagram.com/thassoshru","_._***ter***5","https://www.instagram.com/_._winter__65","2025-03-14T09:47:07.000Z","Link",1,1,"[{""likes_number"":0,""reply"":""@_._winter__65 its on @mirragio.ro"",""reply_date"":""2025-03-18T22:25:42.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DHBDbUAptSy/","tha***shr***","18055356068124910","3585161849414800562"
"https://www.instagram.com/thassoshru","lma***hak***","https://www.instagram.com/lmaomehak","2025-03-12T04:52:32.000Z","tara yummy is that you?",2,3,"[{""likes_number"":1,""reply"":""@lmaomehak I get that a lot😭😭😭"",""reply_date"":""2025-03-18T21:56:47.000Z"",""reply_user"":""tha***shr***""},{""likes_number"":0,""reply"":""@thassoshru you’re gorgeous 😭"",""reply_date"":""2025-03-20T14:40:55.000Z"",""reply_user"":""lma***hak***""},{""likes_number"":0,""reply"":""@lmaomehak us🥹🫵🏻💋"",""reply_date"":""2025-03-20T14:50:38.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DG0zyKFh5ry/","tha***shr***","17926328562033162","3581715350842481394"
"https://www.instagram.com/thassoshru","shr***a","https://www.instagram.com/shreyxa","2025-01-10T07:25:03.000Z","I just address my icks and if the man is understanding enough he gets it or he is out😙",1,1,"[{""likes_number"":0,""reply"":""@shreyxa ME WHEN😋"",""reply_date"":""2025-01-11T09:53:38.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/reel/DEmtUDBSlhK/","tha***shr***","18087824086547986","3541717446698883146"
"https://www.instagram.com/artybuzz","bru***.ed***s","https://www.instagram.com/brutal.editss","2024-11-18T07:41:26.000Z","MY AUDIO?!? HSKSKSN 😭🪷💞🎀",1,1,"[{""likes_number"":0,""reply"":""@brutal.editss hehe❤️❤️❤️"",""reply_date"":""2024-11-18T07:57:21.000Z"",""reply_user"":""art***zz""}]",,,"https://www.instagram.com/thassoshru/reel/DB9G3BFSuxw/","art***zz","18081628726555378","3493979054922198128"
"https://www.instagram.com/thassoshru","anu***a_b***an","https://www.instagram.com/anushka_balyan","2024-11-14T16:17:25.000Z","The saree fit is everything",1,1,"[{""likes_number"":1,""reply"":""@anushka_balyan thanks queen"",""reply_date"":""2024-11-15T13:12:50.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/p/DCWwpfEyKQK/","tha***shr***","18302679244206162","3501199717424473098"
"https://www.instagram.com/krishangi_borah","ras***har***_","https://www.instagram.com/rashisharrma_","2024-01-31T03:35:24.000Z","thank you ❤️💕💞💓💖❤️‍🔥🤍",1,1,"[{""likes_number"":0,""reply"":""@rashisharrma_ 🤢"",""reply_date"":""2024-01-31T03:35:41.000Z"",""reply_user"":""kri***ngi***rah***""}]",,,"https://www.instagram.com/krishangi_borah/p/C2v6zfTC3BQ/","kri***ngi***rah***","18001593986376402","3292108477627592784"
"https://www.instagram.com/thassoshru","mri***jay***dol***","https://www.instagram.com/mritunjay_badola7","2025-02-12T15:18:51.000Z","Free em baby, let it shine 😸",1,1,"[{""likes_number"":0,""reply"":""@mritunjay_badola7 DONE BIG MAN"",""reply_date"":""2025-02-12T17:18:27.000Z"",""reply_user"":""tha***shr***""}]",,,"https://www.instagram.com/thassoshru/p/DFz3MCLp-pG/","tha***shr***","17874937164180661","3563434449715063366"
